Punto de atención	Estrategia	Profesor	Días de atención	Horario	UCG	Barrio
Crespo - Parque Lineal	Madrúgale a la Salud  (MS)	MAYVETH SORACÁ BARRIOS	Lunes a Viernes	5:00 A.M a 6:00 A.M	1	Crespo
Manga - Plaza Muelle Turístico	"Madrúgale a la Salud (MS)
Noche Saludables (NS)"	"JOSE MÉNDEZ MATOS (MS)
LUIS BUSTAMANTE LAMBIS (NS)"	Lunes a Viernes	"5:00 A.M a 6:00AM-6:00 A.M a 7:00 A.M (MS)
7:00 P.M a 8:00 P.M- 8:00 P.M a 9:00 P.M (NS)"	1	Manga
Pie de la Popa - Cancha Sintética La Ermita	Madrúgale a la Salud  (MS)	DYLLAN PATRÓN FRANCO	Lunes a Viernes	5:00 A.M a 6:00 A.M-6:00 A.M a 7:00 A.M	1	Pie de la Popa
Centro Comercial Mall Plaza	Madrúgale a la Salud  (MS)	LUIS BUSTAMANTE LAMBIS	Domingos y Festivos	7:30 A.M a 9:00 A.M	1	Espinal
Las Bovedas - Centro Histórico	Madrúgale a la Salud  (MS)	OSWALDO JULIO MERCADO	Lunes-Miércoles-Jueves	7:00 P.M a 8:00 P.M	1	San Diego
Crespo - Parque del Cangrejo Azul	Noches Saludables (NS)	MAYVETH SORACÁ BARRIOS	Lunes a Viernes	7:00 P.M a 8:00 P.M	1	Crespo
Crespo - Barrio Militar de Sub Oficiales	Noches Saludables (NS)	DYLLAN PATRÓN FRANCO	Lunes-Miércoles-Viernes	7:30 P.M a 8:30 P.M	1	Crespo
Santa Rita - Cancha Múltiple	Madrúgale a la Salud  (MS)	YEISON MARÍN FLÓREZ	"Lunes-Miércoles-Viernes
Martes y Jueves"	"5:00 A.M a 6:00 A.M (Lunes-Miércoles-Viernes)
6:00AM a 7:00AM (Martes y Jueves)"	2	Torices
Torices - Plaza España - Cancha Múltiple	Madrúgale a la Salud  (MS)	BRANDON DÍAZ VITOLA	Lunes-Miércoles-Viernes	5:00 A.M a 6:00 A.M	2	Torices
Conjunto Residencial La Española - Cancha Múltiple	Noches Saludables (NS)	DYLLAN PATRÓN FRANCO	Lunes-Miércoles-Jueves	6:15 P.M a 7:15 P.M	2	Torices
San Francisco - Parque	Madrúgale a la Salud  (MS)	YEISON MARÍN FLÓREZ	"Martes-Jueves-Sábado
Miércoles y Viernes"	"5:00 A.M a 6:00 A.M (Martes-Jueves-Sábado)
6:00AM a 7:00AM (Miércoles y Viernes)"	3	San Francisco
Daniel Lemaitre - Cancha Múltiple	Noches Saludables (NS)	TANIA BARROS SALGUEDO	Lunes a Viernes	"Lunes,Martes y Jueves 7:00 P.M a 9:00 P.M
Miércoles y Viernes 6:00 A.M a 7:00 A.M"	3	Daniel Lemaitre
Canapote - Cancha de Arena	Noches Saludables (NS)	YEISON MARÍN FLÓREZ	Lunes a Viernes	7:00 P.M a 8:00 P.M	3	Canapote
Santa María - Cancha Múltiple	Noches Saludables (NS)	YEISON MARÍN FLÓREZ	Lunes a Viernes	8:00 P.M a 9:00 P.M	3	Santa María
7 de Agosto - Iglesia	Joven Saludable (JS)	MAYVETH SORACÁ BARRIOS	Viernes- Sábado	"3:00 P.M a 5:00 P.M  (Viernes)
 10:00 A.M  a 12:00 P.M (Sábado)"	3	Siete de Agosto
Los Calamares - Cancha Múltiple Cuarta Etapa	Madrúgale a la Salud  (MS)	OMAR LOBELO ORTEGA	Lunes-Miércoles-Viernes	5:00 A.M a 6:00 A.M	8	Los Calamares
Los Calamares - Cancha Nueva Generación	Madrúgale a la Salud  (MS)	OMAR LOBELO ORTEGA	Lunes-Miércoles-Viernes	6:00 A.M a 7:00 A.M	8	Los Calamares
Super Centro Comercial Los Ejecutivos	Madrúgale a la Salud  (MS)	NICOLÁS HERRERA GUERRERO	Domingos y Festivos	9:00 A.M a 10:00 A.M-10:00 A.M a 11:00 A.M	8	Los Ejecutivos
La Troncal - Cancha Múltiple	Noches Saludables (NS)	ELIZABETH SARMIENTO NAVARRO	Lunes-Miércoles-Viernes	7:00 P.M a 8:00 P.M	8	Los Calamares
Barlovento - Canchita	Noches Saludables (NS)	BRANDON DÍAZ VITOLA	Lunes a Viernes	7:30 P.M a 8:30 P.M	8	Los Calamares
Fundación Talid - Zaragocilla	Centros Penitenciarios y Carcelarios (CPyC)	"ROQUE VEGA MARTELO
WILMER ÁLVAREZ RODRÍGUEZ"	Lunes y Miércoles	8:00 A.M a 10:00 A.M	8	Zaragocilla
Los Calamares - Casa Comunal	Joven Saludable (JS)	OMAR LOBELO ORTEGA	Martes y Jueves	4:00 P.M a 6:00 P.M	8	Los Calamares
Piedra de Bolívar - Cancha de Arena	Madrúgale a la Salud  (MS)	BRANDON DÍAZ VITOLA	Martes-Jueves-Sábado	5:00 A.M a 5:55 A.M	9	Piedra de Bolívar
Monserrate - Cancha Múltiple	Madrúgale a la Salud  (MS)	BRANDON DÍAZ VITOLA	Martes-Jueves-Sábado	6:05 A.M a 7:00 A.M	9	Paraguay
Bruselas - Parque Cancha Múltiple	Madrúgale a la Salud  (MS)	ANDERSON OVIEDO MARTÍNEZ	Lunes a Viernes	"5:00A.M a 6:00 A.M
6:00 A.M a 7:00 A.M"	9	Bruselas
Bruselas - Parque Biosaludable	Actívate en el Parque (AP)	HEINER SERRANO GALÁN	Martes-Miércoles-Jueves-Viernes	7:30 A.M a 9:00 A.M	9	Bruselas
El Prado - Cancha Sintética	Noches Saludables (NS)	BRANDON DÍAZ VITOLA	Lunes a Viernes	7:00 P.M a 8:00 P.M	9	El Padro
Juan XXIII - Cancha Múltiple	Noches Saludables (NS)	CAROLAY MARTÍNEZ GÓMEZ	Lunes a Viernes	7:30 P.M a 8:30 P.M	9	Juan XXIII
Amberes - Cancha Múltiple	Noches Saludables (NS)	CAROLAY MARTÍNEZ GÓMEZ	Lunes-Miércoles-Viernes	6:30 A.M a 7:20 A.M	9	Amberes
Nueva Granada - Calle Junta de Acción Comunal	Noches Saludables (NS)	DIANA ORTIZ DEL CASTILLO	Lunes a Viernes	5:30 P.M a 6:30 P.M	10	Nuevo Bosque
Barrio España - Casa Comunal	Joven Saludable (JS)	DELFI PUERTA BERRIO	"Martes y Jueves
Sábado"	"4:00 P.M a 6:00 P.M (Martes y Jueves)
 10:00 A.M a 12:00 P.M (Sábado)"	9	España
Jose Antonio Galán - Casa Comunal	Joven Saludable (JS)	DELFI PUERTA BERRIO	Lunes-Miércoles-Viernes	3:00 P.M a 5:00 P.M	9	Juan Antonio Galán
Los Cerros - Campo de Sóftbol	Madrúgale a la Salud  (MS)	AURA VILLADIEGO MARTÍNEZ	Lunes a Viernes	"5:00 A.M a 6:00 A.M
6:00 A.M a 7:00 A.M"	9	Paraguay
Alto Bosque - Cancha Sintética	Madrúgale a la Salud  (MS)	HEINER SERRANO GALÁN	Lunes a Viernes	"5:00 A.M a 6:00 A.M
6:00 A.M a 7:00 A.M"	10	Alto Bosque
Nuevo Bosque - Campo de Sóftbol	Madrúgale a la Salud  (MS)	LUIS BUSTAMANTE LAMBIS	Martes a Sábado	"5:00 A.M a 6:00 A.M
6:00 A.M a 7:00 A.M"	10	Nuevo Bosque
Nuevo Bosque - Cancha Sintética Séptima Etapa	Noches Saludables (NS)	ALBA PALACIO CARO	"Martes y Jueves
Sábado"	"7:00 P.M a 8:00 P.M
 5:00 A.M a 6:00 A.M"	10	Nuevo Bosque
El Bosquesito -  Canchita	Noches Saludables (NS)	JORGE HEREDIA LAMBIS	Lunes-Miércoles-Jueves-Viernes	7:00 P.M a 8:00 P.M	10	Bosquecito
La Conquista - Cancha Múltiple	Noches Saludables (NS)	ALBA PALACIO CARO	Lunes-Miércoles-Viernes	7:00 P.M a 7:50 P.M	10	Republica de Chile
Chile - Plaza Principal Domingo Puello Ripoll	Noches Saludables (NS)	ALBA PALACIO CARO	Lunes-Miércoles-Viernes	8:00 P.M a 9:00 P.M	10	Republica de Chile
La María - Cancha Sintética	Madrúgale a la Salud  (MS)	TANIA BARROS SALGUEDO	Lunes a Viernes	"5:00 A.M a 6:00 A.M
6:00 A.M a 7:00 A.M"	4	La María
Boston - Sector San Martín - Cancha Múltiple	Madrúgale a la Salud  (MS)	KELLY DÍAZ ALZAMORA	Lunes-Miércoles-Viernes	5:30 A.M a 6:30 A.M	4	Boston
Boston Sector El Pueblito - Cancha Múltiple	Madrúgale a la Salud  (MS)	KELLY DÍAZ ALZAMORA	Martes-Jueves-Sábado	5:30 A.M a 6:30 A.M	4	Boston
Parque La Unión	Noches Saludables (NS)	KELLY DÍAZ ALZAMORA	Lunes a Viernes	6:00 P.M a 7:00 P.M	4	La Esperanza
Alcibia - Plazoleta Villa Liliana	Noches Saludables (NS)	ERICA MIZOL BARRIOS	Lunes a Viernes	"7:00 P.M a 8:00 P.M
8:00 P.M a 9:00 P.M"	4	Alcibia
Boston - Casa Comunal	Joven Saludable (JS)	NICOLÁS MENDOZA RAMÍREZ	"Martes y Jueves
Sábado"	"3:00 P.M a 4:30 P.M (Martes y Jueves)
 10:00 A.M a 11:30 A.M (Sábado)"	4	Boston
La María - I.E. Fundación Pies Descalzos	Joven Saludable (JS)	MAYVETH SORACÁ BARRIOS	Martes y Miércoles	3:00 P.M a 5:00 P.M	4	La María
Estadio de Fútbol Jaime Morón León - Parqueadero	Madrúgale a la Salud  (MS)	JEISSON CARO ALTAHONA	Martes a Sábado	"5:00 A.M a 6:00 A.M
6:00 A.M a 7:00 A.M"	5	Olaya Villa Olímpica
Olaya Herrera - Sector Ricaurte - Cancha Múltiple	Noches Saludables (NS)	JHONATAN SUÁREZ OLASCOAGA	Lunes a Viernes	6:00 P.M a 7:00 P.M	5	Olaya Sector Ricaurte
Coliseo de Combate y Gimnasia Ignacio Amador De La Peña	"Noches Saludables (NS)
Actívate Running (AR)"	"HEINER SERRANO GALÁN
ARLEY MENDOZA GUZMÁN"	"Lunes a Viernes
Lunes a Viernes y Domingo"	"5:00 A.M a 6:00 A.M  (AR-DOMINGO) 
7:00 P.M a 8:00 P.M (NS)"	5	Olaya Villa Olímpica
Olaya Herrera - Sector Ricaurte - Salón Comunal	Joven Saludable (JS)	KELLY DÍAZ ALZAMORA	"Miércoles 
Viernes"	"4:00 P.M a 6:00 P.M (Miércoles)
9:00 A.M a 11:00 A.M (Viernes)"	5	Olaya Sector Ricaurte
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
